Nr,Species_in_Phylo,tip.label,Nr_all,Genus_species,Red_List,Red_List_01,Endemicity,Range_size,SSI,Natural,PC-B1,PC-B2,PC-B3,PC-C1,PC-C2
166,Nymphalis_antiopa,Nymphalis_antiopa,256,Nymphalis_antiopa,LC,0,0,910,34.10984848,0,1.79059947,-1.469662,-1.3845942,0.78449879,-0.1062571
167,Nymphalis_polychloros,Nymphalis_polychloros,257,Nymphalis_polychloros,LC,0,0,845,29.52840909,0,1.7905309,-1.4148939,-1.3884313,0.21894552,-0.162268
168,Nymphalis_vaualbum,Nymphalis_vaualbum,258,Nymphalis_vaualbum,LC,0,0,72,70.53030303,0,1.04450066,-0.8894292,1.93560327,1.25173899,-0.4244438
169,Nymphalis_xanthomelas,Nymphalis_xanthomelas,259,Nymphalis_xanthomelas,LC,0,0,113,50.68371212,0,2.41767137,-1.1365558,0.85388484,1.07648575,-0.6181469
170,Ochlodes_sylvanus,Ochlodes_sylvanus,260,Ochlodes_sylvanus,LC,0,0,1058,18.93371212,0,0.03545918,-0.041451,-1.0314489,0.46149024,0.0075587
171,Oeneis_bore,Oeneis_bore,261,Oeneis_bore,LC,0,0,19,53.03030303,1,-1.0595929,-1.1381254,1.68364228,3.36209884,0.26646623
172,Oeneis_glacialis,Oeneis_glacialis,262,Oeneis_glacialis,LC,0,1,46,69.31439394,1,-0.335358,-2.0495039,1.71031496,-0.5558128,2.48784381
173,Oeneis_jutta,Oeneis_jutta,263,Oeneis_jutta,LC,0,0,166,153.030303,1,-1.0360011,-1.1464202,-1.5429559,2.28975043,-0.1173199
174,Oeneis_norna,Oeneis_norna,264,Oeneis_norna,NT,1,0,54,60.49621212,1,-1.0278875,-1.3429642,-1.5281867,2.41263761,0.90497063
175,Papilio_machaon,Papilio_machaon,267,Papilio_machaon,LC,0,0,1224,9.71780303,0,1.98381699,-1.5289486,-0.7461316,0.43246023,-0.226953
176,Pararge_aegeria,Pararge_aegeria,268,Pararge_aegeria,LC,0,0,1178,37.27272727,0,1.63920577,-1.0994206,-0.1517451,0.1340329,-0.0665397
177,Parnassius_apollo,Parnassius_apollo,269,Parnassius_apollo,NT,1,0,354,33.21780303,1,-0.5916892,-2.2905237,-0.3117852,0.31071089,0.29094667
178,Parnassius_mnemosyne,Parnassius_mnemosyne,270,Parnassius_mnemosyne,NT,1,0,371,35.05871212,1,-0.704746,-2.0646109,0.76201782,0.47090155,0.00712075
179,Parnassius_phoebus,Parnassius_phoebus,271,Parnassius_phoebus,NT,1,0,48,58.53030303,1,-1.3884683,-1.6452178,-0.4465959,-0.5126259,2.55280815
180,Phengaris_alcon,Phengaris_alcon,273,Phengaris_alcon,LC,0,0,354,35.34280303,1,-0.2911059,0.82610722,0.6987485,0.20351519,0.31027768
181,Phengaris_arion,Phengaris_arion,274,Phengaris_arion,EN,1,0,522,22.35984848,1,0.15531624,0.73043174,0.66899974,0.45895754,0.06181723
182,Phengaris_nausithous,Phengaris_nausithous,275,Phengaris_nausithous,NT,1,0,188,48.9375,1,-0.4291408,0.77937278,1.7768378,0.56791734,-0.0112018
183,Phengaris_teleius,Phengaris_teleius,276,Phengaris_teleius,VU,1,0,252,58.71780303,1,-0.1681182,0.33357005,1.86127854,0.51927306,0.04411664
184,Pieris_brassicae,Pieris_brassicae,277,Pieris_brassicae,LC,0,0,1353,11.76704545,0,2.55286553,-0.7416121,-1.2935532,0.15549189,0.04131276
185,Pieris_bryoniae,Pieris_bryoniae,278,Pieris_bryoniae,LC,0,0,114,21.53030303,0,0.7059748,0.20068309,-0.3257778,-0.0725089,1.50536596
186,Pieris_ergane,Pieris_ergane,279,Pieris_ergane,LC,0,0,125,41.77840909,1,1.64469069,0.1743265,-0.2191838,-0.1967069,-0.175323
187,Pieris_mannii,Pieris_mannii,281,Pieris_mannii,LC,0,0,203,19.68371212,1,1.98560987,0.00792997,-0.224221,-0.1830985,-0.0307489
188,Pieris_napi,Pieris_napi,282,Pieris_napi,LC,0,0,1405,7.46780303,0,1.80261772,-0.0088816,-0.2309311,0.41985292,0.12920106
189,Pieris_rapae,Pieris_rapae,283,Pieris_rapae,LC,0,0,1363,8.746212121,0,2.69888059,-0.1608139,-1.2681681,0.14002884,-0.0537629
190,Plebejus_argus,Plebejus_argus,285,Plebejus_argus,LC,0,0,991,13.39204545,0,-0.6630181,1.17157994,-1.5705488,0.43846304,-0.0320106
191,Plebejus_argyrognomon,Plebejus_argyrognomon,286,Plebejus_argyrognomon,LC,0,0,290,27.50189394,1,-0.2469396,0.73175906,-0.3988693,0.5540928,-0.2469812
192,Plebejus_glandon,Plebejus_glandon,290,Plebejus_glandon,LC,0,1,45,123.4962121,1,-0.6242416,1.35571349,-0.5172979,-0.4938643,2.04248128
193,Plebejus_idas,Plebejus_idas,292,Plebejus_idas,LC,0,0,774,18.09280303,1,-0.7683252,1.22755672,-1.6162602,0.8106977,0.21075703
194,Plebejus_optilete,Plebejus_optilete,294,Plebejus_optilete,LC,0,0,480,44.37121212,1,-0.5131917,1.31517669,-0.5215274,1.34524682,0.33689731
195,Plebejus_orbitulus,Plebejus_orbitulus,295,Plebejus_orbitulus,LC,0,0,63,195.780303,1,-1.4039548,1.22488143,-0.5790172,-0.0645839,2.39768118
196,Polygonia_egea,Polygonia_egea,302,Polygonia_egea,LC,0,0,158,47.125,1,1.94667629,-0.4088548,0.8699827,-0.6871557,-0.2497736
197,Polyommatus_amandus,Polyommatus_amandus,305,Polyommatus_amandus,LC,0,0,544,32.46022727,0,0.21754032,0.8323039,-0.457272,0.9173937,-0.3124985
198,Polyommatus_damon,Polyommatus_damon,310,Polyommatus_damon,NT,1,0,163,59.9375,1,-0.4681021,0.71439965,0.63200022,0.09864021,0.47713886
199,Polyommatus_daphnis,Polyommatus_daphnis,311,Polyommatus_daphnis,LC,0,0,305,55.87121212,1,-0.4860097,0.70702592,-1.5141795,0.37622763,-0.2003296
200,Polyommatus_dolus,Polyommatus_dolus,312,Polyommatus_dolus,LC,0,1,24,103.030303,1,-0.3852589,0.74418381,1.77046877,-0.3987689,-0.066237
201,Polyommatus_dorylas,Polyommatus_dorylas,313,Polyommatus_dorylas,NT,1,0,330,49.5,1,-0.1082082,0.95005931,-0.9858527,0.06843799,0.29012437
202,Polyommatus_eros,Polyommatus_eros,314,Polyommatus_eros,NT,1,0,88,126.342803,1,-0.3808954,1.14298176,0.10714207,-0.0656048,0.82191439
203,Polyommatus_icarus,Polyommatus_icarus,321,Polyommatus_icarus,LC,0,0,1476,11.23484848,0,1.12078449,1.27246712,-0.3162306,0.20434668,0.04855222
204,Polyommatus_thersites,Polyommatus_thersites,326,Polyommatus_thersites,LC,0,0,351,35.40340909,1,0.63170551,0.98906596,0.73155126,0.08033056,-0.135829
205,Pontia_callidice,Pontia_callidice,328,Pontia_callidice,LC,0,0,60,164.655303,1,0.92868182,0.36980052,-0.2532166,-0.5137687,2.09860975
206,Pontia_daplidice,Pontia_daplidice,330,Pontia_daplidice,LC,0,0,921,10.10416667,0,2.07599208,-0.041136,-0.7953428,0.19657806,-0.3792577
207,Pseudophilotes_baton,Pseudophilotes_baton,341,Pseudophilotes_baton,LC,0,1,222,63.93371212,1,0.17181623,1.92528372,-0.4009774,-0.4793571,0.50879668
208,Pseudophilotes_bavius,Pseudophilotes_bavius,342,Pseudophilotes_bavius,LC,0,0,20,90.53030303,1,0.08653604,1.57729296,0.62386345,0.49273072,-0.8445704
209,Pseudophilotes_vicrama,Pseudophilotes_vicrama,344,Pseudophilotes_vicrama,NT,1,0,212,52.33522727,1,0.34434007,2.02027757,-1.5473428,0.43256125,-0.5657541
210,Pyrgus_alveus,Pyrgus_alveus,345,Pyrgus_alveus,LC,0,0,476,43.34280303,1,-0.0885623,0.11843168,-1.6433123,0.62720358,0.10859625
211,Pyrgus_andromedae,Pyrgus_andromedae,346,Pyrgus_andromedae,LC,0,1,83,92.37689394,1,-1.3681227,0.97069397,-0.5618555,0.13522745,1.96978228
212,Pyrgus_armoricanus,Pyrgus_armoricanus,347,Pyrgus_armoricanus,LC,0,0,311,39.12121212,1,0.67488487,1.10123505,-0.9744933,-0.0505884,-0.002734
213,Pyrgus_cacaliae,Pyrgus_cacaliae,349,Pyrgus_cacaliae,LC,0,1,55,164.655303,1,-1.1958542,0.93245546,0.52774535,-0.4439158,2.22858377
214,Pyrgus_carthami,Pyrgus_carthami,351,Pyrgus_carthami,LC,0,0,264,34.99621212,1,-0.1940025,0.68460344,-1.5458603,0.34189848,0.03691889
215,Pyrgus_centaureae,Pyrgus_centaureae,352,Pyrgus_centaureae,LC,0,0,162,128.030303,1,-1.0791311,0.76178195,1.62997238,2.49590628,0.19358488
216,Pyrgus_cirsii,Pyrgus_cirsii,354,Pyrgus_cirsii,VU,1,1,94,46.78030303,1,-0.3881135,0.74959724,0.55378908,0.07542973,0.07216259
217,Pyrgus_malvae,Pyrgus_malvae,355,Pyrgus_malvae,LC,0,0,959,16.24621212,1,0.11256736,1.23985283,-0.5526498,0.45779084,-0.0771911
218,Pyrgus_onopordi,Pyrgus_onopordi,356,Pyrgus_onopordi,LC,0,0,105,47.4375,1,-1.2583601,1.15731339,0.49185066,-0.6627672,0.29113583
219,Pyrgus_serratulae,Pyrgus_serratulae,357,Pyrgus_serratulae,LC,0,0,318,45.75,1,-0.1449592,0.83470047,0.58526833,0.24936766,0.18246649
220,Pyrgus_sidae,Pyrgus_sidae,358,Pyrgus_sidae,LC,0,0,77,26.67234848,1,-0.3027231,0.62420491,-1.5043399,0.14733517,-0.5843649
221,Pyrgus_warrenensis,Pyrgus_warrenensis,359,Pyrgus_warrenensis,LC,0,1,29,303.030303,1,-1.2950113,1.20670948,0.48642335,-0.6062307,2.63834763
222,Pyronia_cecilia,Pyronia_cecilia,361,Pyronia_cecilia,LC,0,0,219,68.875,1,-0.3119979,0.5899618,-0.476099,-1.0577683,-0.3595214
223,Pyronia_tithonus,Pyronia_tithonus,362,Pyronia_tithonus,LC,0,0,515,17.79734848,0,-0.1721084,0.24659354,-0.9744737,-0.3065902,0.16388045
224,Satyrium_acaciae,Satyrium_acaciae,363,Satyrium_acaciae,LC,0,0,349,45.96022727,1,-0.9911103,0.38229212,1.67963615,0.28191363,-0.2219877
225,Satyrium_ilicis,Satyrium_ilicis,365,Satyrium_ilicis,LC,0,0,586,71.34280303,1,-0.8433883,0.14025867,0.62723475,0.14638644,-0.1623454
226,Satyrium_pruni,Satyrium_pruni,367,Satyrium_pruni,LC,0,0,408,49.18371212,0,-0.8835283,0.36494889,0.58817001,0.78363376,-0.2252649
227,Satyrium_spini,Satyrium_spini,368,Satyrium_spini,LC,0,0,483,33.03030303,1,-0.7170608,0.39116348,0.58455903,0.12777162,-0.1235262
228,Scolitantides_orion,Scolitantides_orion,372,Scolitantides_orion,LC,0,0,260,30.39772727,1,0.21110874,1.38550022,0.59103771,0.54019123,-0.0839353
229,Spialia_orbifer,Spialia_orbifer,373,Spialia_orbifer,LC,0,0,129,52.62121212,1,0.21577817,0.98360872,-0.4458739,0.10796576,-0.768817
230,Spialia_sertorius,Spialia_sertorius,375,Spialia_sertorius,LC,0,0,380,54.40530303,1,-0.1026716,1.0313499,1.67975956,-0.2275381,0.21082094
231,Thecla_betulae,Thecla_betulae,379,Thecla_betulae,LC,0,0,628,45.34280303,0,-0.9858065,0.10061493,-0.50977,0.47508792,0.00692668
232,Thymelicus_acteon,Thymelicus_acteon,380,Thymelicus_acteon,NT,1,0,496,42.46780303,1,-0.9159228,0.80867576,-0.5704164,-0.1928616,-0.2498234
233,Thymelicus_lineola,Thymelicus_lineola,382,Thymelicus_lineola,LC,0,0,926,22.5625,0,-0.7473653,0.4666631,-1.1222358,0.56672462,-0.2094747
234,Thymelicus_sylvestris,Thymelicus_sylvestris,383,Thymelicus_sylvestris,LC,0,0,832,25.12121212,1,-0.6499465,0.16958481,-0.5688772,0.10236838,-0.0548879
235,Vanessa_atalanta,Vanessa_atalanta,387,Vanessa_atalanta,LC,0,0,1343,8.547348485,0,3.84368879,-0.7168604,0.42398027,0.2186206,0.03735119
236,Vanessa_cardui,Vanessa_cardui,388,Vanessa_cardui,LC,0,0,1373,9.621212121,0,3.72015134,-0.6144352,-1.2400352,0.28413942,-0.0547344
237,Zegris_eupheme,Zegris_eupheme,391,Zegris_eupheme,NT,1,0,36,51.70454545,0,0.47798918,0.17542404,-0.2971737,0.1398461,-1.5790716
238,Zerynthia_polyxena,Zerynthia_polyxena,395,Zerynthia_polyxena,LC,0,0,215,18.90530303,1,0.44191642,-0.6064015,0.75246092,0.42009553,-0.3777245
