ID	Species	Family	Species	Binomial name / synonyms
195	Polyommatus damon	Lycaenidae	"Polyommatus damon (Denis & Schiffermüller, 1775)"	
196	Polyommatus daphnis	Lycaenidae	"Polyommatus daphnis (Denis & Schiffermüller, 1775)"	
384	Polyommatus dolus	Lycaenidae	"Polyommatus dolus (Hübner, 1823)"	
197	Polyommatus dorylas	Lycaenidae	"Polyommatus dorylas (Denis & Schiffermüller, 1775)"	
198	Polyommatus eros	Lycaenidae	"Polyommatus eros (Ochsenheimer, 1808)"	
385	Polyommatus escheri	Lycaenidae	"Polyommatus escheri (Hübner, 1823)"	Agrodiaetus
343	Polyommatus fabressei	Lycaenidae	"Polyommatus fabressei (Oberthür, 1910)"	Agrodiaetus
386	Polyommatus fulgens	Lycaenidae	"Polyommatus fulgens (de Sagarra, 1925)"	
344	Polyommatus golgus	Lycaenidae	"Polyommatus golgus (Hübner, 1813)"	Plebicula
15	Polyommatus hispanus	Lycaenidae	"Polyommatus hispanus (Herrich-Schäffer, 1851)"	" Lysandra hispana (Henrich-Schäffer 1852), Munoz-Sartini 2001 P. Hispana"
61	Polyommatus humedasae	Lycaenidae	Polyommatus humedasae Toso & Balletto 1976)	Agrodiaetus
199	Polyommatus icarus	Lycaenidae	"Polyommatus icarus (Rottemburg, 1775)"	
387	Polyommatus iphigenia	Lycaenidae	"Polyommatus iphigenia (Herrich-Schäffer, 1847)"	Agrodiaetus
345	Polyommatus nivescens	Lycaenidae	"Polyommatus nivescens Keferstein, 1851"	Plebicula
346	Polyommatus orphicus	Lycaenidae	"Polyommatus orphicus Kolev, 2005"	P. dantchenkoi orphicus
388	Polyommatus ripartii	Lycaenidae	"Polyommatus ripartii (Freyer, 1830)"	Agrodiaetus
200	Polyommatus thersites	Lycaenidae	"Polyommatus thersites (Cantener, 1835)"	
347	Polyommatus violetae	Lycaenidae	"Polyommatus violetae (Gomez-Bustillo et al., 1979)"	
111	Pontia callidice	Pieridae	"Pontia callidice (Hübner, 1800)"	
149	Pontia chloridice	Pieridae	"Pontia chloridice (Hübner, 1813)"	
150	Pontia daplidice	Pieridae	"Pontia daplidice (Linnaeus, 1758)"	
296	Proterebia afra	Nymphalidae	"Proterebia afra (Fabricius, 1787)"	
297	Pseudochazara anthelea	Nymphalidae	"Pseudochazara anthelea (Hübner, 1824)"	
298	Pseudochazara cingovskii	Nymphalidae	"Pseudochazara cingovskii (Gross, 1973)"	
299	Pseudochazara geyeri	Nymphalidae	"Pseudochazara geyeri (Herrich-Schäffer, 1846)"	
300	Pseudochazara graeca	Nymphalidae	"Pseudochazara graeca (Staudinger, 1870)"	
359	Pseudochazara hippolyte	Nymphalidae	"Pseudochazara hippolyte (Esper, 1783)"	
301	Pseudochazara mniszechii	Nymphalidae	"Pseudochazara mniszechii (Herrich-Schäffer, 1851)"	
302	Pseudochazara orestes	Nymphalidae	"Pseudochazara orestes De Prins & van der Poorten, 1982)"	
389	Pseudophilotes abencerragus	Lycaenidae	"Pseudophilotes abencerragus (Pierret, 1837)"	
390	Pseudophilotes barbagiae	Lycaenidae	"Pseudophilotes barbagiae De Prins & van der Poorten, 1982)"	
201	Pseudophilotes baton	Lycaenidae	"Pseudophilotes baton (Bergsträsser, 1779)"	
348	Pseudophilotes bavius	Lycaenidae	"Pseudophilotes bavius (Eversmann, 1832) "	
202	Pseudophilotes panoptes	Lycaenidae	"Pseudophilotes panoptes (Hübner, 1813)"	
203	Pseudophilotes vicrama	Lycaenidae	"Pseudophilotes vicrama (Moore, 1865)"	
158	Pyrgus alveus	Hesperiidae	"Pyrgus alveus (Hübner, 1803)"	
54	Pyrgus andromedae	Hesperiidae	"Pyrgus andromedae (Wallengren, 1853)"	
159	Pyrgus armoricanus	Hesperiidae	"Pyrgus armoricanus (Oberthür, 1910)"	
366	Pyrgus bellieri	Hesperiidae	"Pyrgus bellieri (Oberthür, 1910)"	
55	Pyrgus cacaliae	Hesperiidae	"Pyrgus cacaliae (Rambur, 1839)"	
56	Pyrgus carlinae	Hesperiidae	"Pyrgus carlinae (Rambur, 1839)"	
160	Pyrgus carthami	Hesperiidae	"Pyrgus carthami (Hübner, 1813)"	
312	Pyrgus centaureae	Hesperiidae	"Pyrgus centaureae (Rambur, 1839)"	
330	Pyrgus cinarae	Hesperiidae	"Pyrgus cinarae (Rambur, 1839)"	
161	Pyrgus cirsii	Hesperiidae	"Pyrgus cirsii (Rambur, 1839)"	 P carlinae cirsii
162	Pyrgus malvae	Hesperiidae	"Pyrgus malvae (Linnaeus, 1758)"	
367	Pyrgus onopordi	Hesperiidae	"Pyrgus onopordi (Rambur, 1839)"	
163	Pyrgus serratulae	Hesperiidae	"Pyrgus serratulae (Rambur, 1839)"	
164	Pyrgus sidae	Hesperiidae	"Pyrgus sidae (Esper, 1784)"	
57	Pyrgus warrenensis	Hesperiidae	"Pyrgus warrenensis (Verity, 1928)"	
39	Pyronia bathseba	Nymphalidae	"Pyronia bathseba (Fabricius, 1793)"	
40	Pyronia cecilia	Nymphalidae	"Pyronia cecilia (Vallantin, 1894)"	
234	Pyronia tithonus	Nymphalidae	"Pyronia tithonus (Linnaeus, 1767)"	
391	Satyrium acaciae	Lycaenidae	"Satyrium acaciae (Fabricius, 1787)"	
16	Satyrium esculi	Lycaenidae	"Satyrium esculi (Hübner, 1804)"	
204	Satyrium ilicis	Lycaenidae	"Satyrium ilicis (Esper, 1779)"	
392	Satyrium ledereri	Lycaenidae	"Satyrium ledereri (Boisduval, 1848)"	
205	Satyrium pruni	Lycaenidae	"Satyrium pruni (Linnaeus, 1758)"	
206	Satyrium spini	Lycaenidae	"Satyrium spini (Denis & Schiffermüller, 1775)"	
207	Satyrium w-album	Lycaenidae	"Satyrium w-album (Knoch, 1782)"	
303	Satyrus actaea	Nymphalidae	"Satyrus actaea (Esper, 1781)"	
106	Satyrus ferula	Nymphalidae	"Satyrus ferula (Fabricius, 1793)"	
208	Scolitantides orion	Lycaenidae	"Scolitantides orion (Pallas, 1771)"	
331	Spialia orbifer	Hesperiidae	"Spialia orbifer (Hübner, 1823)"	
332	Spialia phlomidis	Hesperiidae	"Spialia phlomidis (Herrich-Schäffer, 1845)"	
368	Spialia sertorius	Hesperiidae	"Spialia sertorius (Hoffmannsegg, 1804)"	S sertorius sertorius
369	Spialia therapne	Hesperiidae	"Spialia therapne (Rambur, 1832)"	S. s. therapne
209	Tarucus balkanicus	Lycaenidae	"Tarucus balkanicus (Freyer, 1844)"	
210	Tarucus theophrastus	Lycaenidae	"Tarucus theophrastus (Fabricius, 1793)"	
211	Thecla betulae	Lycaenidae	"Thecla betulae (Linnaeus, 1758)"	
370	Thymelicus acteon	Hesperiidae	"Thymelicus acteon (Rottemburg, 1775)"	
9	Thymelicus hyrax	Hesperiidae	"Thymelicus hyrax (Lederer, 1861)"	
165	Thymelicus lineola	Hesperiidae	"Thymelicus lineola (Ochsenheimer, 1808)"	sometimes registered as lineolus
166	Thymelicus sylvestris	Hesperiidae	"Thymelicus sylvestris (Poda, 1761)"	
17	Tomares ballus	Lycaenidae	"Tomares ballus (Fabricius, 1787)"	
349	Tomares nogelii	Lycaenidae	"Tomares nogelii (Herrich-Schäffer, 1851)"	
393	Turanana taygetica	Lycaenidae	"Turanana taygetica (Rebel, 1902)"	Turanana endymion taygetica
131	Vanessa atalanta	Nymphalidae	"Vanessa atalanta (Linnaeus, 1758)"	
132	Vanessa cardui	Nymphalidae	"Vanessa cardui (Linnaeus, 1758)"	
133	Vanessa virginiensis	Nymphalidae	"Vanessa virginiensis (Drury, 1773)"	
396	Ypthima asterope	Nymphalidae	"Ypthima asterope (Klug, 1832)"	
365	Zegris eupheme	Pieridae	"Zegris eupheme (Esper, 1804)"	
43	Zerynthia cassandra	Papilionidae	Zerynthia cassandra (Geyer 1882)	subspecies polyxena?
310	Zerynthia cerisy	Papilionidae	"Zerynthia cerisy (Godart, 1824)"	
41	Zerynthia cretica	Papilionidae	"Zerynthia cretica (Rebel, 1904)"	
311	Zerynthia polyxena	Papilionidae	"Zerynthia polyxena (Denis & Schiffermüller, 1775)"	
42	Zerynthia rumina	Papilionidae	"Zerynthia rumina (Linnaeus, 1758)"	
119	Zizeeria knysna	Lycaenidae	"Zizeeria knysna (Trimen, 1862)"	
